2026/07/05 18:47:43.291, 1695 MHz, 0 %, 120.25 W, 11596 MiB
2026/07/05 18:47:44.291, 1695 MHz, 0 %, 120.31 W, 11596 MiB
2026/07/05 18:47:45.291, 1695 MHz, 0 %, 120.42 W, 11596 MiB
2026/07/05 18:47:46.292, 1695 MHz, 0 %, 120.49 W, 11596 MiB
2026/07/05 18:47:47.292, 1695 MHz, 0 %, 120.63 W, 11596 MiB
2026/07/05 18:47:48.293, 1695 MHz, 0 %, 120.84 W, 11596 MiB
2026/07/05 18:47:49.293, 1695 MHz, 0 %, 121.03 W, 11596 MiB
2026/07/05 18:47:50.294, 1695 MHz, 0 %, 121.18 W, 11596 MiB
2026/07/05 18:47:51.294, 1695 MHz, 0 %, 121.18 W, 11596 MiB
2026/07/05 18:47:52.294, 1695 MHz, 0 %, 121.23 W, 11596 MiB
2026/07/05 18:47:53.295, 1695 MHz, 0 %, 121.23 W, 11596 MiB
2026/07/05 18:47:54.295, 1695 MHz, 0 %, 121.19 W, 11596 MiB
2026/07/05 18:47:55.296, 1695 MHz, 0 %, 121.23 W, 11596 MiB
2026/07/05 18:47:56.296, 1695 MHz, 0 %, 121.36 W, 11596 MiB
2026/07/05 18:47:57.296, 1695 MHz, 0 %, 121.47 W, 11596 MiB
2026/07/05 18:47:58.297, 300 MHz, 0 %, 107.48 W, 11596 MiB
2026/07/05 18:47:59.297, 210 MHz, 0 %, 60.22 W, 11596 MiB
2026/07/05 18:48:00.297, 210 MHz, 0 %, 25.40 W, 11596 MiB
2026/07/05 18:48:01.298, 210 MHz, 0 %, 24.16 W, 11596 MiB
2026/07/05 18:48:02.298, 210 MHz, 0 %, 24.33 W, 11596 MiB
2026/07/05 18:48:03.298, 210 MHz, 0 %, 24.15 W, 11596 MiB
2026/07/05 18:48:04.298, 210 MHz, 0 %, 23.94 W, 11596 MiB
2026/07/05 18:48:05.299, 210 MHz, 0 %, 23.90 W, 11596 MiB
2026/07/05 18:48:06.299, 210 MHz, 0 %, 24.04 W, 11596 MiB
2026/07/05 18:48:07.300, 210 MHz, 0 %, 23.91 W, 11596 MiB
2026/07/05 18:48:08.300, 210 MHz, 0 %, 24.79 W, 11654 MiB
2026/07/05 18:48:09.300, 1965 MHz, 0 %, 97.12 W, 11654 MiB
2026/07/05 18:48:10.301, 1965 MHz, 0 %, 159.20 W, 11654 MiB
2026/07/05 18:48:11.301, 1905 MHz, 99 %, 209.75 W, 12092 MiB
2026/07/05 18:48:12.301, 1845 MHz, 100 %, 348.08 W, 12094 MiB
2026/07/05 18:48:13.302, 1845 MHz, 97 %, 348.40 W, 12094 MiB
2026/07/05 18:48:14.302, 1845 MHz, 100 %, 348.63 W, 12094 MiB
2026/07/05 18:48:15.302, 1860 MHz, 100 %, 349.16 W, 12094 MiB
2026/07/05 18:48:16.303, 1845 MHz, 96 %, 348.24 W, 12094 MiB
2026/07/05 18:48:17.303, 1845 MHz, 100 %, 349.00 W, 12094 MiB
2026/07/05 18:48:18.303, 1860 MHz, 97 %, 347.11 W, 12094 MiB
2026/07/05 18:48:19.304, 1830 MHz, 100 %, 348.69 W, 12094 MiB
2026/07/05 18:48:20.304, 1830 MHz, 100 %, 348.82 W, 12094 MiB
2026/07/05 18:48:21.304, 1875 MHz, 96 %, 347.93 W, 12094 MiB
2026/07/05 18:48:22.305, 1845 MHz, 77 %, 334.18 W, 12124 MiB
2026/07/05 18:48:23.305, 1800 MHz, 100 %, 347.33 W, 12124 MiB
2026/07/05 18:48:24.306, 1800 MHz, 100 %, 348.34 W, 12124 MiB
2026/07/05 18:48:25.306, 1785 MHz, 100 %, 348.31 W, 12124 MiB
2026/07/05 18:48:26.306, 1800 MHz, 100 %, 348.74 W, 12124 MiB
2026/07/05 18:48:27.307, 1770 MHz, 100 %, 346.35 W, 12124 MiB
2026/07/05 18:48:28.307, 1785 MHz, 100 %, 335.46 W, 12124 MiB
2026/07/05 18:48:29.307, 1770 MHz, 100 %, 333.99 W, 12124 MiB
2026/07/05 18:48:30.308, 1770 MHz, 100 %, 326.67 W, 12124 MiB
2026/07/05 18:48:31.308, 1800 MHz, 100 %, 334.75 W, 12124 MiB
2026/07/05 18:48:32.308, 1770 MHz, 100 %, 334.27 W, 12124 MiB
2026/07/05 18:48:33.309, 1785 MHz, 100 %, 331.45 W, 12124 MiB
2026/07/05 18:48:34.309, 1845 MHz, 100 %, 332.46 W, 12124 MiB
2026/07/05 18:48:35.309, 1860 MHz, 100 %, 329.62 W, 12124 MiB
2026/07/05 18:48:36.310, 1845 MHz, 100 %, 322.87 W, 12124 MiB
2026/07/05 18:48:37.310, 1905 MHz, 41 %, 305.38 W, 12124 MiB
2026/07/05 18:48:38.310, 1920 MHz, 0 %, 189.72 W, 12124 MiB
2026/07/05 18:48:39.311, 1695 MHz, 0 %, 163.01 W, 12124 MiB
2026/07/05 18:48:40.311, 1695 MHz, 0 %, 149.07 W, 12124 MiB
2026/07/05 18:48:41.311, 1695 MHz, 0 %, 135.18 W, 12124 MiB
2026/07/05 18:48:42.312, 1695 MHz, 0 %, 134.10 W, 12124 MiB
2026/07/05 18:48:43.312, 1695 MHz, 0 %, 133.26 W, 12124 MiB
2026/07/05 18:48:44.312, 1695 MHz, 0 %, 132.79 W, 12124 MiB
2026/07/05 18:48:45.313, 1695 MHz, 0 %, 132.43 W, 12124 MiB
2026/07/05 18:48:46.313, 1695 MHz, 0 %, 132.06 W, 12124 MiB
2026/07/05 18:48:47.313, 1695 MHz, 0 %, 131.73 W, 12124 MiB
2026/07/05 18:48:48.314, 1695 MHz, 0 %, 131.51 W, 12124 MiB
2026/07/05 18:48:49.314, 1695 MHz, 0 %, 131.32 W, 12124 MiB
2026/07/05 18:48:50.315, 1695 MHz, 0 %, 131.06 W, 12124 MiB
2026/07/05 18:48:51.315, 1695 MHz, 0 %, 130.84 W, 12124 MiB
2026/07/05 18:48:52.315, 1695 MHz, 0 %, 130.58 W, 12124 MiB
2026/07/05 18:48:53.316, 1695 MHz, 0 %, 130.31 W, 12124 MiB
2026/07/05 18:48:54.316, 345 MHz, 0 %, 130.15 W, 12124 MiB
2026/07/05 18:48:55.316, 210 MHz, 0 %, 81.95 W, 12124 MiB
2026/07/05 18:48:56.317, 210 MHz, 0 %, 29.97 W, 12124 MiB
2026/07/05 18:48:57.317, 210 MHz, 0 %, 26.21 W, 12124 MiB
2026/07/05 18:48:58.317, 210 MHz, 0 %, 25.91 W, 12124 MiB
2026/07/05 18:48:59.317, 210 MHz, 0 %, 25.41 W, 12124 MiB
2026/07/05 18:49:00.318, 210 MHz, 0 %, 25.04 W, 12124 MiB
2026/07/05 18:49:01.318, 210 MHz, 0 %, 24.87 W, 12124 MiB
2026/07/05 18:49:02.318, 210 MHz, 0 %, 25.29 W, 12124 MiB
2026/07/05 18:49:03.319, 210 MHz, 0 %, 25.27 W, 12124 MiB
2026/07/05 18:49:04.319, 210 MHz, 0 %, 24.83 W, 12124 MiB
2026/07/05 18:49:05.320, 210 MHz, 0 %, 24.54 W, 12124 MiB
2026/07/05 18:49:06.320, 210 MHz, 0 %, 24.48 W, 12124 MiB
2026/07/05 18:49:07.320, 1950 MHz, 0 %, 128.71 W, 12124 MiB
2026/07/05 18:49:08.321, 1905 MHz, 85 %, 189.29 W, 12124 MiB
2026/07/05 18:49:09.321, 1905 MHz, 43 %, 289.31 W, 12124 MiB
2026/07/05 18:49:10.321, 1860 MHz, 100 %, 321.63 W, 12124 MiB
2026/07/05 18:49:11.322, 1905 MHz, 12 %, 249.63 W, 12124 MiB
2026/07/05 18:49:12.322, 1920 MHz, 10 %, 251.63 W, 12126 MiB
2026/07/05 18:49:13.322, 1905 MHz, 15 %, 238.60 W, 12126 MiB
2026/07/05 18:49:14.323, 1905 MHz, 15 %, 261.48 W, 12126 MiB
2026/07/05 18:49:15.323, 1905 MHz, 60 %, 230.57 W, 12126 MiB
2026/07/05 18:49:16.324, 1800 MHz, 86 %, 268.18 W, 12126 MiB
2026/07/05 18:49:17.324, 1875 MHz, 70 %, 274.02 W, 12126 MiB
2026/07/05 18:49:18.324, 1905 MHz, 33 %, 269.09 W, 12126 MiB
2026/07/05 18:49:19.325, 1905 MHz, 24 %, 231.06 W, 12126 MiB
2026/07/05 18:49:20.325, 1920 MHz, 15 %, 238.47 W, 12126 MiB
2026/07/05 18:49:21.325, 1905 MHz, 35 %, 236.52 W, 12126 MiB
2026/07/05 18:49:22.326, 1860 MHz, 96 %, 305.80 W, 12126 MiB
2026/07/05 18:49:23.326, 1905 MHz, 63 %, 297.49 W, 12126 MiB
2026/07/05 18:49:24.326, 1830 MHz, 100 %, 287.44 W, 12126 MiB
2026/07/05 18:49:25.327, 1905 MHz, 44 %, 258.38 W, 12126 MiB
2026/07/05 18:49:26.327, 1905 MHz, 36 %, 248.17 W, 12126 MiB
2026/07/05 18:49:27.327, 1860 MHz, 91 %, 305.59 W, 12126 MiB
2026/07/05 18:49:28.328, 1860 MHz, 92 %, 295.41 W, 12126 MiB
2026/07/05 18:49:29.328, 1890 MHz, 53 %, 332.96 W, 12126 MiB
2026/07/05 18:49:30.328, 1845 MHz, 73 %, 257.28 W, 12126 MiB
2026/07/05 18:49:31.329, 1905 MHz, 13 %, 266.70 W, 12126 MiB
2026/07/05 18:49:32.329, 1905 MHz, 14 %, 230.97 W, 12126 MiB
2026/07/05 18:49:33.329, 1890 MHz, 18 %, 253.63 W, 12126 MiB
2026/07/05 18:49:34.330, 1770 MHz, 100 %, 301.08 W, 12126 MiB
2026/07/05 18:49:35.330, 1905 MHz, 10 %, 277.38 W, 12126 MiB
2026/07/05 18:49:36.330, 1830 MHz, 100 %, 264.20 W, 12126 MiB
2026/07/05 18:49:37.331, 1710 MHz, 100 %, 328.66 W, 12126 MiB
2026/07/05 18:49:38.331, 1740 MHz, 100 %, 284.70 W, 12126 MiB
2026/07/05 18:49:39.331, 930 MHz, 73 %, 272.32 W, 12126 MiB
2026/07/05 18:49:40.332, 1890 MHz, 44 %, 259.28 W, 12126 MiB
2026/07/05 18:49:41.332, 1695 MHz, 100 %, 326.92 W, 12126 MiB
2026/07/05 18:49:42.332, 1665 MHz, 100 %, 316.57 W, 12126 MiB
2026/07/05 18:49:43.333, 1680 MHz, 100 %, 308.10 W, 12126 MiB
2026/07/05 18:49:44.333, 1680 MHz, 100 %, 306.54 W, 12126 MiB
