bucket,tokens,mean_neg_log2_p
[0-64),480000,3.9074999217892343
[64-128),480000,3.003627965950554
[128-256),958794,2.8479263414128644
[256-512),1797091,2.63995519656014
[512-1024),3045215,2.537762031008084
[1024+),6407315,2.3988724534311
