bucket,tokens,mean_neg_log2_p
[0-64),480000,3.653411969220013
[64-128),480000,2.801696849006083
[128-256),958794,2.6576942802822554
[256-512),1797091,2.460685679189719
[512-1024),3045215,2.370558208282717
[1024+),6407315,2.242942265242904
