bucket,tokens,mean_neg_log2_p
[0-64),480000,3.362171296689272
[64-128),480000,2.5090825007464232
[128-256),958794,2.373564237029948
[256-512),1797091,2.1871178267776124
[512-1024),3045215,2.1055134783833283
[1024+),6407315,1.9867171068450222
