bucket,tokens,mean_neg_log2_p
[0-64),19200,3.6296154752688228
[64-128),19200,2.7282594430293057
[128-256),38365,2.552586322455718
[256-512),72014,2.414767758929099
[512-1024),124008,2.324885647529672
[1024+),271402,2.134173145648993
