bucket,tokens,mean_neg_log2_p
[0-64),480000,3.3852885644354735
[64-128),480000,2.5293593315058427
[128-256),958794,2.3917924549470464
[256-512),1797091,2.2042606283646378
[512-1024),3045215,2.121353463748984
[1024+),6407315,2.001335704336221
