bucket,tokens,mean_neg_log2_p
[0-64),480000,3.3621167355229398
[64-128),480000,2.509084399527968
[128-256),958794,2.3735773329734644
[256-512),1797091,2.187122370654141
[512-1024),3045215,2.1055118986954358
[1024-1536),2590013,2.016041471454302
[1536-2048),2020353,1.899425616908927
[2048-2560),1336324,1.9794167280168413
[2560-3072),457182,2.2262554022697874
[3072-3584),3443,2.1729121737031387
[3584+),0,nan
