bucket,tokens,mean_neg_log2_p
[0-64),19200,3.5154144880416833
[64-128),19200,2.5435824601618013
[128-256),38365,2.3989272010015217
[256-512),72014,2.2511829511561525
[512-1024),124008,2.1531776170861465
[1024+),271402,1.9725980009933166
