bucket,tokens,mean_neg_log2_p
[0-64),32000,4.740826511627825
[64-128),32000,3.7232174724035456
[128-256),63991,3.500949603382635
[256-512),125158,3.3538899099769566
[512-1024),226960,3.227641013330615
[1024-1536),194739,3.1599342310201033
[1536-2048),167051,3.1135624664860098
[2048-2560),144219,3.0569758073430098
[2560-3072),105472,3.0946230030216197
[3072-3584),1369,3.0752500271810104
[3584+),0,nan
