bucket,tokens,mean_neg_log2_p
[0-64),480000,3.653410687778308
[64-128),480000,2.8016967756682094
[128-256),958794,2.657697337183097
[256-512),1797091,2.4606869734896586
[512-1024),3045215,2.3705589425151525
[1024+),6407315,2.2429422780879067
