bucket,tokens,mean_neg_log2_p
[0-64),480000,3.653394895295121
[64-128),480000,2.8016896578890607
[128-256),958794,2.6576854197049173
[256-512),1797091,2.460681847142792
[512-1024),3045215,2.3705630676477583
[1024+),6407315,2.2429378871341075
