bucket,tokens,mean_neg_log2_p
[0-64),480000,3.469017057558541
[64-128),480000,2.601118043319336
[128-256),958794,2.4616741283476795
[256-512),1797091,2.26951891866031
[512-1024),3045215,2.1845439025012334
[1024+),6407315,2.0615783459553594
