bucket,tokens,mean_neg_log2_p
[0-64),480000,3.7165722354473805
[64-128),480000,2.8331060484017123
[128-256),958794,2.6885519780719207
[256-512),1797091,2.489576144240978
[512-1024),3045215,2.399260835765882
[1024+),6407315,2.271198473267058
