bucket,tokens,mean_neg_log2_p
[0-64),480000,3.6534121632139627
[64-128),480000,2.8016966503679024
[128-256),958794,2.6576941029060617
[256-512),1797091,2.460686156799868
[512-1024),3045215,2.3705592858517344
[1024+),6407315,2.2429422291240226
