bucket,tokens,mean_neg_log2_p
[0-64),19200,3.6295801938930676
[64-128),19200,2.728275255848269
[128-256),38365,2.5525857128766347
[256-512),72014,2.414759763011439
[512-1024),124008,2.3248723225457817
[1024+),271402,2.1341748317030067
