bucket,tokens,mean_neg_log2_p
[0-64),2560,2.737722868032395
[64-128),2560,2.1136956532979405
[128-256),5085,1.9461503747302753
[256-512),8080,1.8868116199233962
[512-1024),10607,1.5384164837567893
[1024+),19895,0.9691538757866197
