bucket,tokens,mean_neg_log2_p
[0-64),32000,4.740827778680888
[64-128),32000,3.723210886218071
[128-256),63991,3.5009509312917806
[256-512),125158,3.3538894376562367
[512-1024),226960,3.2276418865914636
[1024-1536),194739,3.159934272888174
[1536-2048),167051,3.1135636964174447
[2048-2560),144219,3.056974046415012
[2560-3072),105472,3.094623331850059
[3072-3584),1369,3.0752488741338233
[3584+),0,nan
