bucket,tokens,mean_neg_log2_p
[0-64),480000,3.3621173983549664
[64-128),480000,2.509095331735535
[128-256),958794,2.3735731165553555
[256-512),1797091,2.1871202466105895
[512-1024),3045215,2.10551069011063
[1024+),6407315,1.9867161318813353
