bucket,tokens,mean_neg_log2_p
[0-64),2560,2.737673780705885
[64-128),2560,2.113820310906633
[128-256),5085,1.9460379807553592
[256-512),8080,1.8867047348475134
[512-1024),10607,1.53828879833422
[1024+),19895,0.9691532741447767
