bucket,tokens,mean_neg_log2_p
[0-64),19200,3.490644819183379
[64-128),19200,2.5241242185517243
[128-256),38365,2.3802527719742796
[256-512),72014,2.2326309244651603
[512-1024),124008,2.137116501670673
[1024+),271402,1.957854431070833
